SPY,QQQ,TLT
-1.82101878e-02,-1.56302972e-02,-1.80779900e-02
1.29271820e-02,1.22253668e-02,-8.35721647e-04
1.71991449e-03,-1.92039236e-03,-2.86810382e-03
-1.09647973e-02,-5.99902367e-03,-1.45857302e-02
1.48570891e-02,1.08993400e-02,1.18307115e-02
6.36553413e-03,6.56701180e-03,-2.52380428e-03
5.67379570e-03,9.19187440e-03,6.83372915e-03
-1.17662619e-03,2.09389427e-04,-2.03265304e-03
2.48246890e-03,-2.09389427e-04,9.29477636e-03
-1.39945905e-02,-9.46687698e-03,-8.09931433e-03
5.54249995e-03,9.04833916e-03,-4.79416844e-03
-9.45363836e-03,-9.47104696e-03,6.46817882e-03
-4.79387051e-03,-4.23797351e-03,5.47593254e-03
-1.03319680e-02,-5.75039288e-03,2.38019687e-04
1.41285743e-02,1.52609111e-02,9.49227199e-04
-1.32660029e-04,-4.20755854e-04,-2.37875474e-04
3.32264381e-04,1.68261623e-03,1.02679149e-02
9.00036988e-03,8.99289873e-03,5.24349372e-03
3.61686305e-03,5.81297768e-03,-6.11651650e-03
-1.05080392e-03,7.21854400e-03,-1.12694258e-02
5.24301239e-03,4.10124305e-03,-4.06429027e-03
7.84298296e-04,6.14083942e-04,3.58682165e-03
-1.43418150e-02,-8.42159778e-03,1.68062713e-02
7.06536339e-03,6.78377889e-03,-1.03817966e-02
1.56671793e-02,1.52492113e-02,-3.44427404e-03
2.97533581e-03,6.83653010e-03,2.73280381e-03
-1.29546133e-04,-1.00212019e-03,9.56727578e-03
-5.16954128e-04,7.59366646e-03,-2.11829070e-03
-1.81081651e-03,-1.19539693e-03,3.76216344e-03
3.87654312e-03,2.98590565e-03,-2.34731065e-04
-1.01758893e-02,-5.38037303e-03,8.99740721e-03
3.05657810e-03,3.99846339e-04,-1.62911981e-03
-1.74926747e-02,-1.48896699e-02,3.72154982e-03
2.04655805e-03,1.41749878e-03,1.97185408e-03
-2.39644554e-02,-8.53819520e-03,8.30814329e-03
-1.98542559e-02,-2.04192166e-02,2.86781044e-03
1.55217043e-02,1.16014182e-02,-2.86781044e-03
-1.13274684e-02,-2.12330158e-02,7.21212078e-03
4.86077573e-03,7.75416742e-03,-2.16717026e-03
7.95860652e-03,9.14393585e-03,2.52164139e-03
-2.60823017e-02,-1.92151761e-02,6.61876650e-03
1.66199255e-02,1.15315829e-02,-7.30592764e-03
1.06133501e-02,7.06334866e-03,-8.01319535e-04
1.38443069e-02,1.09103096e-02,-1.22279504e-02
-3.00819880e-02,-2.34083320e-02,1.39145949e-03
-4.68731541e-03,-9.05377410e-03,-2.32118090e-03
3.58632692e-03,6.74592008e-03,2.90057592e-03
-1.54035024e-02,-1.71635388e-02,2.66033371e-03
-1.38715902e-02,-1.92044549e-02,-3.58703601e-03
7.48762620e-03,-9.85249405e-03,1.02659299e-02
1.82011395e-02,1.87453632e-02,-4.02467457e-03
-4.83997289e-04,4.73928225e-03,5.74890110e-04
2.00252060e-03,1.04757162e-02,4.82497974e-03
1.17981095e-02,1.35192764e-02,-1.60524478e-03
-8.86518174e-04,-2.73113265e-03,3.43730779e-03
1.22766996e-02,1.39980556e-02,4.90740356e-03
-9.34645861e-03,-6.66092385e-03,5.22229664e-03
-2.22255532e-02,-2.40976422e-02,1.69673939e-03
1.94312453e-02,2.82657426e-02,-2.71652274e-03
-2.66487953e-03,5.18622694e-03,6.66483139e-03
9.80468188e-03,1.11109534e-02,7.88977782e-04
1.00450468e-02,1.64389113e-02,4.74516561e-04
-8.69060464e-03,-1.01155534e-02,7.98497871e-03
2.29810876e-03,-8.13881127e-04,-2.57887846e-03
-1.40045276e-02,-1.86920818e-02,1.40504108e-02
-1.91934128e-03,-6.21752015e-04,7.72222976e-03
1.15935917e-02,1.50314423e-02,-7.68946619e-04
2.57309544e-03,2.04292191e-04,-3.74655658e-03
7.00831463e-03,4.89198040e-03,-8.98119365e-03
-6.67008745e-05,8.12948210e-04,1.44653779e-03
-5.38706279e-03,-8.36480798e-03,4.77117536e-03
2.90142137e-02,2.48876624e-02,-7.55550964e-03
5.88591105e-03,2.59422834e-03,-9.30047207e-03
-7.06731883e-03,-2.79420700e-03,-1.90938793e-02
2.69514431e-03,7.09419516e-03,8.45529520e-03
-1.84391869e-03,4.55670074e-03,2.84040606e-03
-1.97968691e-03,9.44347885e-03,-3.52334907e-03
5.27017406e-03,4.88330879e-03,9.10667602e-04
5.89634794e-03,5.05322597e-03,6.91508085e-03
-3.33723642e-03,-3.30119105e-03,2.25667263e-03
1.12100102e-02,1.14113305e-02,5.69782859e-03
-1.36191984e-03,1.91875923e-04,3.14553575e-03
-2.01373249e-03,-6.94572090e-03,-2.92053709e-03
1.55925349e-03,2.32097681e-03,3.81656873e-03
1.18116102e-02,2.00789261e-02,-1.08148689e-02
-5.33980345e-03,6.22814966e-03,-7.93635145e-04
9.37409542e-03,4.31835411e-03,-1.24781067e-03
-1.66312931e-03,2.43192064e-03,5.67610273e-04
-4.81244211e-03,-1.60123147e-02,-1.02159205e-03
5.51651731e-03,1.63858681e-02,-4.89433152e-03
-8.47978312e-03,-7.68846904e-03,2.27743856e-04
-7.96631848e-03,-4.71761259e-03,3.41827647e-04
3.05150736e-03,1.27796615e-02,1.08897019e-02
